Customer Id,Customer Name,Email,Location,Marital Status,Income Level,Frequency,Occupation,Age,Gender,Subscription Status,Payment Method,,Interest,Category,Item Purchased
1,Gabriel Petersen,gabriel.petersen@yahoo.com,Bangalore,Single,700000,Monthly,Engineer,43,Male,No,Bank Transfer,,"Technology, Electronics, Fashion, Writing",Watches,Sports Watch
2,Barbara Williams,barbara.williams@hotmail.com,Agra,Single,100000,Half Yearly,Manager,36,Male,No,Bank Transfer,,"Technology, Gadgets, Music",Smartphones,iPhone
3,Eric Flores,eric.flores@gmail.com,Chennai,Single,1800000,Quarterly,Teacher,68,Female,No,Bank Transfer,,"Fashion, Beauty, Electronics, Painting",Beauty Products,Hair Dryer
4,Henry Rice,henry.rice@outlook.com,Surat,Single,1800000,Monthly,Banker,49,Male,Yes,Bank Transfer,,"Technology, Electronics, Gaming",Watches,Luxury Watch
5,Crystal Patterson,crystal.patterson@outlook.com,Agra,Married,500000,Quarterly,Manager,21,Female,Yes,Bank Transfer,,"Shopping, Fashion, Travel, Movies",Clothes,Skirt
6,Sonya Gaines MD,sonya.gaines.md@outlook.com,Vadodara,Single,2100000,Yearly,Lawyer,39,Female,No,Cash,,"Fashion, Beauty, Dancing",Beauty Products,Lipstick
7,Shannon Conrad,shannon.conrad@gmail.com,Surat,Married,600000,Yearly,Teacher,45,Male,No,Venmo,,"Fashion, Beauty, Gaming, Dancing",Beauty Products,Hair Dryer
8,Joseph Li,joseph.li@yahoo.com,Thane,Married,200000,Yearly,Entrepreneur,43,Female,No,Debit Card,,"Reading, Writing, Technology",Books,History
9,Dr. Margaret Roy,dr..margaret.roy@gmail.com,Hyderabad,Single,200000,Half Yearly,Entrepreneur,59,Male,Yes,Venmo,,"Technology, Cars, Movies, Art",Automobiles,Hatchback
10,James Brown,james.brown@outlook.com,Srinagar,Single,1500000,Quarterly,Engineer,61,Male,No,Cash,,"Technology, Cars, Cycling, Fitness",Automobiles,Electric Car
11,Tammy Brown,tammy.brown@gmail.com,Chennai,Married,1200000,Half Yearly,Chef,49,Male,Yes,Credit Card,,"Technology, Electronics, Sports",Watches,Sports Watch
12,Susan Davis,susan.davis@outlook.com,Delhi,Married,2300000,Yearly,Banker,42,Male,Yes,Debit Card,,"Beauty, Fashion, Cycling, Movies",Beauty Products,Shampoo
13,Andrew Olson,andrew.olson@hotmail.com,Srinagar,Single,2500000,Yearly,Entrepreneur,51,Male,Yes,Venmo,,"Writing, Reading, Electronics",Books,Science
14,Vincent Ward,vincent.ward@gmail.com,Lucknow,Married,1000000,Quarterly,Doctor,58,Female,No,Cash,,"Fashion, Beauty, Technology",Beauty Products,Lipstick
15,Scott Carlson,scott.carlson@yahoo.com,Indore,Married,1500000,Monthly,Entrepreneur,22,Male,Yes,Debit Card,,"Reading, Writing, Gardening",Books,Science
16,Matthew Lee,matthew.lee@hotmail.com,Kanpur,Single,1000000,Monthly,Entrepreneur,53,Male,No,Cash,,"Technology, Electronics, Fashion",Watches,Smartwatch
17,Marc Sanders,marc.sanders@outlook.com,Jaipur,Married,1500000,Yearly,Teacher,61,Male,Yes,Venmo,,"Fashion, Shopping, Writing",Clothes,Dress
18,Regina Carlson,regina.carlson@gmail.com,Mumbai,Married,1800000,Half Yearly,Doctor,64,Female,Yes,Venmo,,"Beauty, Fashion, Writing, Dancing",Beauty Products,Conditioner
19,Cindy Davis MD,cindy.davis.md@outlook.com,Thane,Married,500000,Monthly,Manager,36,Female,No,Debit Card,,"Fashion, Beauty, Cooking",Beauty Products,Perfume
20,Shelby Rose,shelby.rose@hotmail.com,Indore,Married,2500000,Quarterly,Banker,34,Female,No,Venmo,,"Technology, Gadgets, Gaming, Electronics",Smartphones,Huawei
21,Shelby Williams,shelby.williams@yahoo.com,Mumbai,Married,1200000,Monthly,Manager,23,Female,No,PayPal,,"Shopping, Fashion, Cycling, Photography",Clothes,Jacket
22,Kayla Griffin,kayla.griffin@outlook.com,Kolkata,Married,2400000,Half Yearly,Entrepreneur,57,Female,No,Venmo,,"Shopping, Fashion, Writing",Clothes,Jeans
23,Nicholas Stevens,nicholas.stevens@hotmail.com,Ahmedabad,Single,1500000,Half Yearly,Entrepreneur,19,Male,No,Venmo,,"Technology, Electronics, Cycling",Watches,Smartwatch
24,Monica Carr,monica.carr@gmail.com,Agra,Single,1400000,Quarterly,Entrepreneur,41,Male,Yes,Credit Card,,"Gadgets, Technology, Hiking",Smartphones,Google Pixel
25,Justin Maldonado,justin.maldonado@gmail.com,Lucknow,Single,2800000,Monthly,Chef,35,Female,Yes,Bank Transfer,,"Reading, Writing, Gaming",Books,Science
